Variable,Category,N (valid),Statistic,Missing %
Missed care due to cost,Yes,1977,178 (9.0%),0.3%
Uninsured,Yes,1911,54 (2.8%),3.6%
Has personal doctor,Yes,1968,"1,914 (97.3%)",0.8%
Recent (past-year) checkup,Yes,1973,"1,856 (94.1%)",0.5%
Age band,45-54,1983,616 (31.1%),0.0%
,55-64,1983,"1,367 (68.9%)",
Sex,Female,1983,939 (47.4%),0.0%
,Male,1983,"1,044 (52.6%)",
Race / ethnicity,AI/AN,1983,22 (1.1%),0.0%
,Hispanic,1983,190 (9.6%),
,NH Asian,1983,40 (2.0%),
,NH Black,1983,94 (4.7%),
,NH White,1983,"1,571 (79.2%)",
,Other/Multiple,1983,66 (3.3%),
Education,College grad,1973,654 (33.1%),0.5%
,Grades 1-8,1973,59 (3.0%),
,Grades 9-11,1973,97 (4.9%),
,HS/GED,1973,605 (30.7%),
,No school/K only,1973,3 (0.2%),
,Some college,1973,555 (28.1%),
Income tier,$25-50K,1650,383 (23.2%),16.8%
,$50-75K,1650,424 (25.7%),
,$75K+,1650,451 (27.3%),
,<$25K,1650,392 (23.8%),
Low income (<$50K),Yes,1650,590 (35.8%),16.8%
Obese (BMI ≥30),Yes,1800,"1,082 (60.1%)",9.2%
Current smoker,Yes,1880,336 (17.9%),5.2%
Meets PA guideline,Yes,1652,784 (47.5%),16.7%
Fair/poor self-rated health,Yes,1978,833 (42.1%),0.3%
Comorbidity count (0-8),median (IQR),1983,2.0 (1.0–3.0),0.0%
Takes insulin,Yes,722,246 (34.1%),63.6%
Days physical health not good,median (IQR),1921,2.0 (0.0–20.0),3.1%
Days mental health not good,median (IQR),1944,1.0 (0.0–10.0),2.0%
