Variable,Category,Overall,State: Connecticut,State: Maine,State: Massachusetts,State: New Hampshire,State: Rhode Island,State: Vermont,Test,p-value
,(n),"1,983",399,504,335,224,270,251,,
Missed care due to cost,Yes,178 (9.0%),34 (8.5%),35 (7.0%),34 (10.1%),26 (11.7%),34 (12.6%),15 (6.0%),Chi-square,0.035
Uninsured,Yes,54 (2.8%),15 (3.9%),13 (2.7%),6 (1.8%),6 (2.8%),8 (3.1%),6 (2.5%),Chi-square,0.675
Has personal doctor,Yes,"1,914 (97.3%)",378 (96.2%),494 (98.4%),324 (98.2%),222 (99.6%),252 (93.3%),244 (97.6%),Chi-square,<0.001
Recent (past-year) checkup,Yes,"1,856 (94.1%)",374 (94.4%),476 (95.0%),312 (93.4%),208 (92.9%),255 (95.1%),231 (92.4%),Chi-square,0.616
Age band,45-54,616 (31.1%),131 (32.8%),150 (29.8%),123 (36.7%),50 (22.3%),86 (31.9%),76 (30.3%),Chi-square,0.015
,55-64,"1,367 (68.9%)",268 (67.2%),354 (70.2%),212 (63.3%),174 (77.7%),184 (68.1%),175 (69.7%),,
Sex,Female,939 (47.4%),181 (45.4%),260 (51.6%),141 (42.1%),100 (44.6%),136 (50.4%),121 (48.2%),Chi-square,0.084
,Male,"1,044 (52.6%)",218 (54.6%),244 (48.4%),194 (57.9%),124 (55.4%),134 (49.6%),130 (51.8%),,
Race / ethnicity,AI/AN,22 (1.1%),2 (0.5%),9 (1.8%),3 (0.9%),1 (0.4%),1 (0.4%),6 (2.4%),Chi-square,<0.001
,Hispanic,190 (9.6%),67 (16.8%),9 (1.8%),50 (14.9%),3 (1.3%),55 (20.4%),6 (2.4%),,
,NH Asian,40 (2.0%),16 (4.0%),3 (0.6%),14 (4.2%),1 (0.4%),4 (1.5%),2 (0.8%),,
,NH Black,94 (4.7%),36 (9.0%),4 (0.8%),33 (9.9%),2 (0.9%),16 (5.9%),3 (1.2%),,
,NH White,"1,571 (79.2%)",270 (67.7%),459 (91.1%),225 (67.2%),211 (94.2%),183 (67.8%),223 (88.8%),,
,Other/Multiple,66 (3.3%),8 (2.0%),20 (4.0%),10 (3.0%),6 (2.7%),11 (4.1%),11 (4.4%),,
Education,College grad,654 (33.1%),142 (35.8%),140 (27.8%),140 (42.0%),79 (35.4%),73 (27.5%),80 (31.9%),Chi-square,<0.001
,Grades 1-8,59 (3.0%),18 (4.5%),3 (0.6%),10 (3.0%),5 (2.2%),22 (8.3%),1 (0.4%),,
,Grades 9-11,97 (4.9%),12 (3.0%),19 (3.8%),19 (5.7%),16 (7.2%),24 (9.1%),7 (2.8%),,
,HS/GED,605 (30.7%),120 (30.2%),183 (36.3%),83 (24.9%),77 (34.5%),66 (24.9%),76 (30.3%),,
,No school/K only,3 (0.2%),0 (0.0%),1 (0.2%),1 (0.3%),0 (0.0%),0 (0.0%),1 (0.4%),,
,Some college,555 (28.1%),105 (26.4%),158 (31.3%),80 (24.0%),46 (20.6%),80 (30.2%),86 (34.3%),,
Income tier,$25-50K,383 (23.2%),87 (26.8%),120 (28.0%),48 (18.1%),38 (20.8%),50 (21.6%),40 (18.3%),Chi-square,<0.001
,$50-75K,424 (25.7%),63 (19.4%),120 (28.0%),59 (22.3%),50 (27.3%),49 (21.2%),83 (38.1%),,
,$75K+,451 (27.3%),117 (36.0%),70 (16.4%),86 (32.5%),60 (32.8%),61 (26.4%),57 (26.1%),,
,<$25K,392 (23.8%),58 (17.8%),118 (27.6%),72 (27.2%),35 (19.1%),71 (30.7%),38 (17.4%),,
Low income (<$50K),Yes,590 (35.8%),103 (31.7%),180 (42.1%),98 (37.0%),54 (29.5%),99 (42.9%),56 (25.7%),Chi-square,<0.001
Obese (BMI ≥30),Yes,"1,082 (60.1%)",198 (56.4%),294 (61.9%),174 (56.3%),134 (68.4%),132 (55.0%),150 (65.5%),Chi-square,0.009
Current smoker,Yes,336 (17.9%),57 (15.5%),89 (18.5%),62 (19.5%),26 (12.2%),46 (18.3%),56 (22.7%),Chi-square,0.058
Meets PA guideline,Yes,784 (47.5%),140 (42.0%),201 (47.4%),142 (50.7%),85 (46.2%),104 (47.1%),112 (53.3%),Chi-square,0.148
Fair/poor self-rated health,Yes,833 (42.1%),170 (42.8%),239 (47.4%),135 (40.5%),85 (38.1%),108 (40.0%),96 (38.2%),Chi-square,0.083
Comorbidity count (0-8),median (IQR),2.0 (1.0–3.0),2.0 (1.0–3.0),3.0 (2.0–4.0),2.0 (1.0–3.0),2.0 (1.0–3.0),2.0 (1.0–3.0),2.0 (1.0–3.0),Kruskal-Wallis,<0.001
Takes insulin,Yes,246 (34.1%),—,172 (34.4%),—,74 (33.3%),—,—,Chi-square,0.846
Days physical health not good,median (IQR),2.0 (0.0–20.0),2.0 (0.0–15.0),4.0 (0.0–25.0),3.0 (0.0–21.0),2.0 (0.0–15.0),2.0 (0.0–15.0),2.0 (0.0–14.0),Kruskal-Wallis,0.026
Days mental health not good,median (IQR),1.0 (0.0–10.0),0.0 (0.0–10.0),2.0 (0.0–15.0),1.0 (0.0–15.0),0.0 (0.0–10.0),0.0 (0.0–8.0),2.0 (0.0–10.0),Kruskal-Wallis,0.029
