Variable,Category,Overall,Insurance: Any private,Insurance: Public only,Insurance: Uninsured,Test,p-value
,(n),812,459,292,61,,
Total medical expense ($),median (IQR),"8,642 (2,072–19,741)","8,425 (2,205–18,600)","12,066 (4,038–23,930)",519.0 (48.0–3238.0),Kruskal-Wallis,<0.001
Out-of-pocket spending ($),median (IQR),424.5 (82.8–1463.0),743.0 (228.0–2046.5),121.5 (13.8–664.5),264.0 (17.0–672.0),Kruskal-Wallis,<0.001
Prescription spending ($),median (IQR),"2,811 (288–9,194)","2,758 (286–8,648)","4,685 (676–12,486)",84.0 (7.0–545.0),Kruskal-Wallis,<0.001
High spender (top 25%),Yes,203 (25.0%),105 (22.9%),96 (32.9%),2 (3.3%),Chi-square,<0.001
Any ER visit,Yes,211 (26.0%),90 (19.6%),109 (37.3%),12 (19.7%),Chi-square,<0.001
Any inpatient stay,Yes,105 (12.9%),50 (10.9%),49 (16.8%),6 (9.8%),Chi-square,0.048
Age (years),median (IQR),57.0 (52.0–61.0),57.0 (52.0–60.0),58.0 (53.0–61.2),56.0 (52.0–60.0),Kruskal-Wallis,0.006
Age band,45-54,290 (35.7%),177 (38.6%),89 (30.5%),24 (39.3%),Chi-square,0.065
,55-64,522 (64.3%),282 (61.4%),203 (69.5%),37 (60.7%),,
Sex,Female,417 (51.4%),223 (48.6%),164 (56.2%),30 (49.2%),Chi-square,0.121
,Male,395 (48.6%),236 (51.4%),128 (43.8%),31 (50.8%),,
Race / ethnicity,Hispanic,203 (25.0%),95 (20.7%),76 (26.0%),32 (52.5%),Chi-square,<0.001
,NH Asian,45 (5.5%),37 (8.1%),7 (2.4%),1 (1.6%),,
,NH Black,177 (21.8%),85 (18.5%),80 (27.4%),12 (19.7%),,
,NH Other/Multiple,23 (2.8%),10 (2.2%),12 (4.1%),1 (1.6%),,
,NH White,364 (44.8%),232 (50.5%),117 (40.1%),15 (24.6%),,
Poverty tier,High Income (400%+),251 (30.9%),219 (47.7%),18 (6.2%),14 (23.0%),Chi-square,<0.001
,Low Income (125-199%),118 (14.5%),43 (9.4%),64 (21.9%),11 (18.0%),,
,Middle Income (200-399%),231 (28.4%),160 (34.9%),55 (18.8%),16 (26.2%),,
,Near Poor (100-124%),45 (5.5%),14 (3.1%),28 (9.6%),3 (4.9%),,
,Poor (<100% FPL),167 (20.6%),23 (5.0%),127 (43.5%),17 (27.9%),,
<200% FPL,Yes,330 (40.6%),80 (17.4%),219 (75.0%),31 (50.8%),Chi-square,<0.001
Northeast region,Yes,98 (12.1%),64 (13.9%),29 (9.9%),5 (8.2%),Chi-square,0.162
Comorbidity count (0-4),median (IQR),2.0 (1.0–2.0),2.0 (1.0–2.0),2.0 (1.0–2.0),2.0 (1.0–2.0),Kruskal-Wallis,<0.001
